member_name,late_books,discount_applied,fee_to_pay
Rebecca Medina,"Factor wrong instead prevent charge.,Later lose decade child ready.",0.1,0.0
Jane Frye,"Girl vote science one.,Word kitchen any nor character nearly.",0.25,4.65
James Austin MD,"Short gun stock left industry near.,Summer act.",0.0,0.0
Rachel Gibson,Once already beyond.,0.25,0.0
James Haas,Condition bad firm administration.,0.1,0.0
Kristine Brady,"Build prove life reason safe.,Arrive well.",0.0,0.0
Jamie Potts,"Represent end.,Arrive well.,Effort only.",0.0,0.0
Harold Holmes,Brother them executive hour ask opportunity.,0.0,0.0
Susan Sanchez,"Try personal nation thousand.,Analysis sign later officer firm.,They kitchen practice.",0.0,0.0
Christopher George,"My cup professor vote base run.,Money fight vote.",0.1,1.98
Michele Gomez,Century should strategy responsibility who even scene.,0.25,0.0
Stephanie Smith,"Industry final remain anyone.,Today politics toward whether.,Evening change live.,Budget true part to.,Late employee process.",0.25,3.94
Tony Williams,"Operation news camera rich set sport.,Goal rich wonder must agree.,Need several include meet school pick.",0.0,0.0
Sierra Benton,Sort whole everyone capital.,0.0,0.0
Megan Haynes,Word kitchen any nor character nearly.,0.25,2.77
Kaylee Maynard,"Discover main practice must your imagine.,Trial price media back buy.",0.0,0.0
Jennifer Wood,Evening change live.,0.0,0.0
Grace Mccarty,Early after service.,0.1,0.0
Mark Rush,Probably dog leader.,0.25,0.0
Kelly Wilson MD,Reason door value several morning blood.,0.0,0.0
Richard Berry,"Today politics toward whether.,Power happy.,Result government various once reveal.",0.25,0.0
Cody Zamora,Six role get.,0.0,0.0
Zachary Peterson,"Clear side yes.,Always why page.",0.25,0.0
Kimberly Higgins,"Need several include meet school pick.,Remain score point recently.",0.0,0.0
Katherine Blanchard,"Everything west choose field.,Together outside happy.",0.0,0.0
Cindy Townsend,Father visit sure.,0.1,0.0
Patrick Martin,"Attorney learn.,Guy reveal prevent community.",0.1,0.0
Lisa Johnson,My just authority one.,0.25,0.0
Lee Thomas,Always opportunity.,0.1,0.0
Kari Woods,"Yourself people toward evidence cover.,Test himself a structure though.",0.0,0.0
Laurie Pham,"Significant exist plant.,Form choose deal television.",0.25,0.0
Diana Ross,Way teacher partner beautiful.,0.1,1.07
Kristen Brown,Six role get.,0.25,0.0
Andrew Davis,Go law report.,0.25,0.0
Sean Tate,Raise music development since.,0.0,0.0
Caroline Flores,Address defense instead nearly buy reality.,0.0,0.0
Mary Gilmore,Capital shoulder believe crime glass actually.,0.25,0.0
Michael Nelson,Community far thing too consider.,0.25,0.0
Crystal Lee,Another morning test.,0.1,0.0
Alexander Roberts,Write better onto establish thousand.,0.1,0.0
Justin Mitchell,"Poor price hotel unit do middle.,Author education important factor.",0.1,0.0
Alicia Daniel,Identify fine laugh best really.,0.25,0.0
Amy Palmer,Doctor more probably his.,0.1,0.0
Renee Davis,"Impact dream couple bank center fact.,Analysis sign later officer firm.",0.25,0.0
Cheryl Wilson,Growth describe building woman.,0.0,0.0
Angela Ali,"Indeed short hospital.,On effort key I.,Site within stock conference present.",0.1,0.0
Jessica Davis,Guess yeah structure cup town development.,0.0,0.0
John Bowen,"Left boy peace argue collection.,Need several include meet school pick.,Door know environment series.",0.1,0.01
Amanda Palmer,"Sister plant none.,Try thousand represent social old.,Probably dog leader.",0.25,0.0
Maria Smith,"Rate shake color.,Less meeting even would.,Hotel task artist instead structure point.,After keep than agreement.",0.1,0.0
Gregory Casey,"Thousand less history to into.,Just industry question law half.,Early after service.,Present small.",0.25,0.0
Matthew Gomez,"Three executive him friend.,Game help.",0.25,0.0
Megan Fletcher,"Sort trade role.,Save skin pretty call science.",0.1,0.0
Brian Davis,"Different particular.,Report never process.",0.1,1.74
Robert Meyer,Once already beyond.,0.0,0.0
Regina Woods,Form choose deal television.,0.0,0.0
Eric Foley,"Simple dog father candidate care.,Bar mind customer election wife.",0.25,0.0
Sandy Schultz,"Well woman particularly.,Speak medical visit thank.",0.1,1.42
Charlene Berg,"Stop thus this everybody attorney.,Part for simple.,Hotel task artist instead structure point.,Six role get.",0.25,0.87
Alicia Grant,Read kind interesting culture cold.,0.1,0.0
Sarah Anderson,Attorney effort.,0.0,0.0
Nicholas Beard,"Fast where tough management.,Performance whole economic.",0.0,0.0
Sandra Schmidt,Thank ever matter.,0.0,0.0
Stephanie Clark,"My nor television.,Beyond compare.,Part for simple.",0.1,0.0
Edward Clark,"Movie property great child.,Its agent news board.,Cell paper list.",0.1,0.45
Matthew Baker,"Group agency.,Career thus.",0.1,0.0
Patrick Roberts,"Indeed short hospital.,Force result keep.,Local where common race.",0.0,0.0
Kristine Serrano DDS,"Operation news camera rich set sport.,Even follow suddenly study evidence.",0.0,0.0
John Ray,Guess yeah structure cup town development.,0.25,0.0
Madison Roberts,Truth fill strategy sense reduce.,0.1,0.52
Alan Smith,Society affect perhaps simply manager.,0.0,0.0
Lori Ryan,Every manager anything much certainly some.,0.25,0.0
Cody Hart,Source government sort back practice.,0.25,0.0
Ryan Powers,Range note window blue billion.,0.0,0.0
Jenna Chandler,"Heavy reason claim matter.,Often part.",0.0,0.0
Cynthia Harrison,"Economy far.,May speech world myself step.",0.1,1.73
Mr. Kyle Roberts,"Authority yet choose receive.,Court effect it.",0.1,0.0
Caitlin Henry,"Share real or full physical.,Though painting benefit happy.",0.25,0.0
Brenda Nash,Brother them executive hour ask opportunity.,0.1,0.0
Dana Carroll,"Decade around particular leader some.,Trial training effect why tough.",0.0,0.0
Timothy Kaufman,Evening change live.,0.0,0.0
Shannon Benitez,Rate shake color.,0.1,0.0
Kyle Smith,"Someone follow particularly protect.,Why senior return ready deep firm.",0.25,0.0
Andrew Houston,"Even follow suddenly study evidence.,Message story board especially continue.",0.1,0.0
Curtis Lucas,Raise administration film fall.,0.25,0.0
Reginald Holt,"Article chair fill so.,Top large quickly dark leg ground.",0.25,2.03
Sierra Manning,Head laugh middle thousand.,0.1,0.0
Jacqueline Hahn,Meet east management investment organization customer.,0.0,0.0
Jeremiah Spencer,"Save political lead several cut similar.,On effort key I.,Fight Republican maintain.",0.1,0.0
Catherine Haas,"Someone follow particularly protect.,Provide any class job.",0.0,0.0
Nicole Cummings,"Heavy reason claim matter.,Girl vote science one.",0.0,0.0
Stacy Reyes,"Audience sell position.,Pick green over represent.",0.1,0.0
Timothy Lloyd,Parent next must return law.,0.0,0.0
John Garza,"Together outside happy.,Trial price media back buy.,Discover main practice must your imagine.",0.1,0.0
Lindsey Howard,Analysis particular.,0.1,0.0
Tracy Dalton,"Kitchen me carry again forget.,Able bad anyone citizen.,Audience degree sister kind responsibility rule.,Themselves again interesting end dark sometimes.",0.1,0.21
Megan Campbell,Result statement maintain.,0.1,0.16
Kirsten Flores,"Impact dream couple bank center fact.,Street shake.",0.1,0.0
Kathryn Coleman,Source government sort back practice.,0.1,0.0
Timothy Powers,"Practice thought meeting low.,Probably dog leader.",0.0,0.0
Joseph Marshall,Serve poor sign body might.,0.25,0.0
